,Country,Squad Size,Average Age,Team Value,Confederation,Points
1,Spain,27,27.3,€1.15bn,UEFA,1877
2,Argentina,23,27.9,€575.00m,CONMEBOL,1873
3,France,25,26.8,€1.29bn,UEFA,1870
4,England,25,26.8,€1.30bn,UEFA,1834
5,Brazil,26,27.9,€932.00m,CONMEBOL,1760
6,Portugal,23,27.2,€841.00m,UEFA,1760
7,Netherlands,22,26.7,€808.00m,UEFA,1756
8,Morocco,28,27.4,€435.55m,CAF,1737
9,Belgium,24,27.2,€442.20m,UEFA,1731
10,Germany,24,26.7,€828.00m,UEFA,1724
11,Croatia,23,28.6,€258.50m,UEFA,1717
12,Senegal,27,27.5,€405.90m,CAF,1707
13,Italy,26,27.3,€827.00m,UEFA,1702
14,Colombia,26,29.4,€285.10m,CONMEBOL,1701
15,USA,24,26,€169.70m,CONCACAF,1682
16,Mexico,28,25.7,€142.10m,CONCACAF,1676
17,Uruguay,34,26.7,€419.20m,CONMEBOL,1673
18,Switzerland,25,27.5,€251.00m,UEFA,1655
19,Japan,26,26.5,€223.50m,AFC,1650
20,Iran,28,29.3,€34.25m,AFC,1617
21,Denmark,23,27.2,€381.60m,UEFA,1617
22,South Korea,26,27.6,€118.80m,AFC,1599
23,Ecuador,28,25.3,€349.58m,CONMEBOL,1592
24,Austria,26,28.1,€231.90m,UEFA,1586
25,Turkiye,33,27,€508.20m,UEFA,1583
26,Nigeria,28,27.5,€281.78m,CAF,1582
27,Australia,25,27.6,€32.85m,AFC,1574
28,Algeria,26,26.5,€229.30m,CAF,1561
29,Canada,20,24.7,€21.88m,CONCACAF,1559
30,Ukraine,25,27.2,€274.20m,UEFA,1557
31,Egypt,28,29,€138.50m,CAF,1557
32,Norway,28,26.1,€502.90m,UEFA,1553
33,Panama,23,25.5,€5.30m,CONCACAF,1539
34,Poland,25,27.8,€164.35m,UEFA,1532
35,Wales,25,26.5,€184.15m,UEFA,1530
36,Russia,28,26.4,€220.90m,UEFA,1525
37,Ivory Coast,27,26.7,€370.80m,CAF,1522
38,Scotland,25,29.1,€211.45m,UEFA,1507
39,Serbia,28,26.7,€266.70m,UEFA,1506
40,Paraguay,31,28.4,€123.95m,CONMEBOL,1502
41,Hungary,26,27.5,€183.55m,UEFA,1496
42,Sweden,26,27,€495.98m,UEFA,1487
43,Czechia,22,27,€115.90m,UEFA,1487
44,Slovakia,28,28.6,€130.05m,UEFA,1486
45,Cameroon,28,25.7,€256.03m,CAF,1482
46,Greece,24,26.4,€254.70m,UEFA,1480
47,Tunisia,28,28.9,€68.45m,CAF,1479
48,DR Congo,29,28.1,€134.05m,CAF,1468
49,Romania,26,27.3,€95.08m,UEFA,1466
50,Venezuela,36,25.1,€72.35m,CONMEBOL,1465
